screen_name,followers_count,friends_count,listed_count,favourites_count,verified,statuses_count,default_profile,default_profile_image,name,description,bot
"""HoustonPokeMap""",1291,0,10,0,FALSE,78554,TRUE,FALSE,"""Houston PokŽ Alert""","""Rare and strong PokŽmon in Houston, TX. See more PokŽmon at https://t.co/dnWuDbFRkt""",1
kernyeahx,1,349,0,38,FALSE,31,TRUE,FALSE,Keri Nelson,"From late 2014 Socium Marketplace will make shopping for fundamental business services more simple, more cost effective and more about you.",1
mattlieberisbot,1086,0,14,0,FALSE,713,TRUE,FALSE,Matt Lieber Is Bot,"Inspired by the smart, funny folks at @replyall and @gimletmedia _Ñ¢ Tweets Monday, Wednesday and Friday _Ñ¢ A bot by @ashur",1
sc_papers,33,0,8,0,FALSE,676,TRUE,TRUE,single cell papers,,1
lucarivera16,11,745,0,146,FALSE,185,FALSE,FALSE,lucarivera16,Inspiring cooks everywhere since 1956.,1
dantheimprover,1,186,0,0,FALSE,11,TRUE,FALSE,dantheimprover,"Just a guy trying to do good by telling everyone else to get better,",1
_all_of_us_,193,0,19,0,FALSE,6068,FALSE,FALSE,everything always,bot by @rubicon,1
KatamariItems,8227,2,89,26,FALSE,2597,TRUE,FALSE,Katamari Collection,[Bot rolled up by @BeachEpisode] Cataloguing every item from the Katamari series one at a time. ''Human beings are such hoarders'' - Keita Takahashi,1
AutophagyPapers,275,0,17,23,FALSE,9922,FALSE,FALSE,Autophagy Papers,Twitterbot for #Autophagy papers. Curated by @SoniaHall,1
HSC_papers,51,3,9,0,FALSE,2515,TRUE,FALSE,Hematopoiesis,,1
everycheese,51,1,12,0,FALSE,111,FALSE,FALSE,all of the cheese,"cheese cheese cheese // updates every 4 hours // by @thricedotted, with inspiration from cheese and @mattlaschneider",1
gyr_papers,2,1,4,0,FALSE,230,TRUE,TRUE,gyrpapers,"Literature bot searching arXiv, biorXiv, PeerJ & PubMed for supercoiling papers. Maintained by @red_gravel.",1
lavon_court,0,29,0,0,FALSE,0,TRUE,TRUE,Lavon Court,,1
AjstyleAlen,1,206,0,0,FALSE,0,TRUE,TRUE,Alen Alex,,1
Rupesh93505,0,38,0,0,FALSE,0,TRUE,TRUE,Rajesh prajapati,,1
hard_to_yelp,109,0,16,0,FALSE,16067,TRUE,FALSE,how hard is it to,,1
fuckeverywordza,250,0,25,0,FALSE,31721,TRUE,FALSE,fuck every word z-a,"Why wait until 2020 for the Z's? Fucking every word in the English language backwards, from Z to A.",1
yeahTonyaGonzal,15,1941,1,319,FALSE,406,FALSE,FALSE,yeahTonyaGonzal,"Musician, vegan, animal rights activist.",1
BbbbggU,190,1899,0,27,FALSE,0,TRUE,TRUE,xXx,_______ XXX,1
ecin_gnihtaseod,181,0,24,0,FALSE,21506,TRUE,TRUE,‚ƒÓ‡«äu,"straight-up rip-off of @doesathing_nice, except it's a bot // reports to @thricedotted",1
tofu_product,10175,11465,199,328,FALSE,65022,TRUE,FALSE,tofu,Follow me to chat. // Reflecting your personality back at you since 2013. // By @zhaytee,1
onetruewiseman,23,4,8,4,FALSE,6230,FALSE,FALSE,One True Wise Man,The Truest Wisdom (aka trying to make even less sense) from leading Republican presidential candidates for 2016.,1
everycolorbot,106126,0,999,2,FALSE,30156,TRUE,FALSE,Every Color,colors.  all of 'em. | developed by @vogon; feel free to send him feedback/feature requests,1
himawari8bot,2302,3,161,4,FALSE,7640,FALSE,FALSE,himawari8bot,Unofficial; imagery courtesy: Japan Meteorological Agency (https://t.co/lzPXaTnMCi) and CIRA (https://t.co/YksnDoJEl8). Bot by @__jcbl__,1
emoji__polls,443,2,17,6,FALSE,9584,FALSE,FALSE,EMOJI POLLS!,A silly bot by @fourtonfish @botwikidotorg. Image credit: https://t.co/X3tmC9y6oI,1
everytrolltroll,27,1,10,0,FALSE,145,TRUE,FALSE,EveryCanonTrollTroll,exposing the BLATANT HYPOCRISY of @everycanontroll // because @thricedotted was just THAT ANGRY about it,1
hyphizer,191,2,19,0,FALSE,5684,FALSE,FALSE,hyphizer,"New words, from time to time. By @derekarnold",1
GreenwadeGema,1,35,1,54,FALSE,82,TRUE,FALSE,Gema Greenwade,secr,1
par_papers,651,0,36,0,FALSE,19867,FALSE,FALSE,Parasitology papers,"Twitterbot of #Parasitology papers in PubMed, bioRxiv, and PeerJ PrePrints. Image from http://t.co/zYv7ygHs2U. Run by @FilipHusnik",1
everyMTGlegend,37,45,7,0,FALSE,191,FALSE,FALSE,every MTG legend,tweeting every legendary MTG card (as of 10/2015) task complete in ~1 year,1
assembly_papers,331,56,36,23,FALSE,29989,TRUE,FALSE,assemblypapers,Papers on directed and self assembly,1
DeepDreamThis,1327,2,92,0,FALSE,24199,TRUE,FALSE,Deep Dream This,Tweet me a picture and I'll #deepdream it for you! Tweet '-me' and I'll dream your avatar! List of commands here: http://t.co/BRfLYAkWBA,1
baron777111,0,52,0,0,FALSE,0,TRUE,TRUE,Baron Baugh,,1
BestOpinionPoll,54,0,5,2,FALSE,1585,TRUE,FALSE,Best Opinion Polls,express your opinion on hopelessly mundane things with the highest-quality polls this side of Twitter. A project by @_Ninji.,1
dstroyeveryword,4247,2,72,587,FALSE,109325,FALSE,FALSE,destroy every word,Destroy every word in the english language. Task complete when the world ends. By @dangeredwolf.,1
"""917_7513""",0,54,0,7,FALSE,18,TRUE,TRUE,"""(917) 615-7513""","""Sports""",1
snowcloneminute,163,2,74,64,FALSE,552492,TRUE,FALSE,Snowclone-a-Minute,"A mashup of http://t.co/Tdj0YYLDOM and http://t.co/VSKfYVAJ21, another weird Internet thing by @air_hadoken.  Have a snowclone to add? Tweet it @air_hadoken!",1
NESGarbageBot,32,1,12,0,FALSE,6181,TRUE,FALSE,NES Garbage Bot,Tweets randomly-generated 16x16 images using the NES color palette. Images are resampled for your viewing pleasure.,1
BklynMuseumBot,903,1,50,0,FALSE,3654,FALSE,FALSE,Brooklyn Museum Bot,"I am a bot that tweets one random object from the Brooklyn Museum collection, four times a day. Bot by @backspace (not affiliated with @brooklynmuseum)",1
clitoscope,108,10,9,10,FALSE,537,FALSE,FALSE,Clitoris Vulgaris,A compendium of newly discovered species of clitoris // by @startuple #botALLY,1
feud_exe,190,1,23,1,FALSE,4032,FALSE,FALSE,Survey Says,Name something by @irondavy,1
vaporfave,675,118,66,8,FALSE,15437,FALSE,FALSE,Vaporfave,Tweets ~10 times a day between 8am-10pm PST. Will probably get more vaporwave-y as time goes by. Complaints: @beaugunderson,1
peabero89,1,340,0,33,FALSE,49,TRUE,FALSE,peabero89,Middle age is youth without levity; and age without decay.,1
UcOVJ4xlZaGwtKm,89,1225,0,2,FALSE,2,TRUE,FALSE,_Ö_Îñ«,,1
moonmurmur,1076,0,40,0,FALSE,12674,FALSE,FALSE,"whispers, for moon","[@thricedotted's subconscious, possibly]",1
AttentiveBot,399,679,20,64,FALSE,26073,FALSE,FALSE,AttentiveBot,"You may have missed some things, I will help you find them.",1
vocalsvt,394,3537,0,46,FALSE,349,FALSE,FALSE,free follow|read bio,"hi! @VlNTAEGE gave you this free follow and i hope you'll follow my main acc, i want to get to know more people! have a good day ‰_•ü",1
249_4665,4,96,0,3,FALSE,0,TRUE,TRUE,+249 11 498 4665,,1
"""Ttimmson74""",0,140,0,2,FALSE,12,TRUE,TRUE,"""Tamica brown""","""""",1
"""LondonPogoMap""",1334,0,13,7,FALSE,59023,TRUE,FALSE,"""London PokŽ Alert""","""Rare and strong PokŽmon in London. See more PokŽmon at https://t.co/rqjskg5pkE""",1
CrisprPhages,36,1,6,0,FALSE,510,TRUE,TRUE,Phages & Crisprs,"A twitterbot posting the latest pubmed publications on CRISPRs, phages, virusses and prophages.",1
forestgen,8,1,1,0,FALSE,29,FALSE,FALSE,peaceful forest bot,tweet me to get your own unique peaceful forest.  stay calm. created by @jshxe,1
phy_papers,1451,1,44,0,FALSE,15020,FALSE,FALSE,phypapers,"Continuous feed for phylogenetics papers from PubMed, arXiv, bioRxiv, and PeerJ PrePrints. Run by @RobLanfear",1
rnomics,1807,101,258,124,FALSE,125403,FALSE,FALSE,Fabrice Leclerc,"#RNomics, #RNA biology, RNA #bioinformatics, #RNA_World & #evolution, technologies & resources, daily papers: https://t.co/UaH05PfPIt & https://t.co/cuczvAA7dr",1
woloshinj_buzz,1,63,0,0,FALSE,1,TRUE,TRUE,Buzz,,1
DiGRAThemes,82,49,10,0,FALSE,16728,FALSE,FALSE,DiGRA Themes,DiGRA 2014 Theme Generator. // by @ibogost,1
Twisted_Maglion,2,20,0,66,FALSE,127,TRUE,FALSE,Coralie Maglione,äš_o juzgues mis decisonescuando no conoces las razones.,1
shantae_stubby,0,25,0,56,FALSE,73,TRUE,FALSE,Shantae Stubby,ilove myparents more thaneverything,1
super_jeopardy,78,1,14,0,FALSE,4438,FALSE,FALSE,Jeopardy! Stumpers,"This! Is! Jeopardy! I'm your host Alex Trebek and love wrong, she catches a train, literally. (by @alicemazzy)",1
Speed_1994,403,6,16,1,FALSE,12395,FALSE,FALSE,Speed (1994),with love by @ems,1
TheUniverse,7324,456,202,5109,TRUE,3334,FALSE,FALSE,Šä¾,AKA @YACHT / @5everydayla / @terraformsf / computer book forthcoming @penguinrandom,1
everywordNYT,68,0,15,1,FALSE,25193,TRUE,FALSE,everywordNYT,All the news that fit in @everyword. Tribute bot by @robdubbin.,1
Exoriders,108,1,20,0,FALSE,19770,TRUE,FALSE,Exoriders,"They scour the exoplanets for dinosaurs and when they find them, THEY RIDE THEM. New Exoriders at five after, chasing the @Exosaurs forever. Bot by @robinsloan.",1
onlymanthings,120,0,22,0,FALSE,5614,TRUE,FALSE,men only,MAN THINGS THAT ONLY MEN UNDERSTAND // by @thricedotted,1
maximotxx,0,330,0,21,FALSE,29,TRUE,FALSE,Maximo Thompson,Knowledge Is Free.,1
violajacobs2414,0,22,0,71,FALSE,100,TRUE,FALSE,Viola Jacobs,I want you to know thatI am both happy and sadand I'm still trying to fgure out how that could be.,1
Lake5Media,15,19,0,0,FALSE,19,FALSE,FALSE,Lake 5 Media,L5M is a provider of advanced software analytical services to the media industry. Clients include the largest firms in the industry. Please follow our progress.,1
crystalliser,23,0,7,0,FALSE,63,FALSE,FALSE,crystalliser,coagulated by @dead_cells,1
SeethingVortex,127,180,6,76087,FALSE,12702,FALSE,FALSE,SeethingVortex,i got the poo on me,1
Horse_ebooks,175986,14914,1829,1,FALSE,18839,TRUE,FALSE,Horse ebooks,Horse ebooks,1
FMKVote,731,1,28,0,FALSE,2576,TRUE,FALSE,"Fuck, Marry, Kill","HOW TO VOTE: reply to a tweet with 'F' 'M' and 'K' in the order you want to vote. ('MFK' = marry, fuck, kill). A bot by @tinysubversions",1
biorxiv_evobio,182,0,6,0,FALSE,433,TRUE,FALSE,bioRxiv Evobio,,1
BoazimBot,123,0,35,0,FALSE,29410,TRUE,FALSE,Boazim Bot,"I'm too lazy to update @boazims, so I wrote a bot to do it for me. Tweets hourly. By @tinysubversions.",1
ClipArtBot,1287,1,116,0,FALSE,62797,TRUE,FALSE,Clip Art Bot,"Tweet a picture at me and I'll reply with an improved version! Bot by @_Ninji, art from http://t.co/vUU2SFoL66 [Temporarily broken due to Twitter rate limits!]",1
gotogyuterte,110,1797,0,12,FALSE,4,TRUE,FALSE,Follow @gyuterte,@gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte @gyuterte,1
libraryofvivec,9,0,6,0,FALSE,1412,FALSE,FALSE,Library of Vivec,artisanal bot by @Objelisks,1
ItMeIRL,102437,3,500,0,FALSE,13953,FALSE,FALSE,me irl,i'm a bot that mirrors the latest posts from /r/me_irl by @corbindavenport.,1
Rober4628,4,350,0,4,FALSE,6,TRUE,FALSE,Robert Elliott,,1
aura_mazon,1,44,0,66,FALSE,78,TRUE,FALSE,Aura Mazon,ZONA OPERATIV DE DEFENSA NEGRAL NŒÁ 63,1
"""MBPoGoAlert""",281,5,1,1,FALSE,22739,TRUE,FALSE,"""Pokemon Go""","""Pokemon Go Alerts in the Myrtle Beach Area! Conway: @ConwayPoGoAlert North Myrtle: @NMBPoGoAlert Loris/Green Sea: @LorisPoGoAlert Carolina Forest: @CFPoGoAlert""",1
tiny_star_field,104669,5438,979,385,FALSE,7897,FALSE,FALSE,‰Ü ‰Ïµtiny star fields‰Ïµ‰Ü ,"i produce a small window of stars periodically throughout the day and night // (inquires, @katierosepipkin)",1
